customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4132-QPYBK,Male,0,No,Yes,35,No,No,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,111.85,3914.75,No
6774-GNVDE,Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,29.58,1212.78,Yes
8715-HZTQW,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,94.14,2730.06,No
2173-GNVDE,Male,0,No,No,6,No,Yes,No,No,No,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),65.26,391.56,Yes
4994-QPYBK,Female,0,No,No,68,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),79.24,5388.32,No
2859-GNVDE,Female,0,Yes,No,10,No,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),66.75,667.5,Yes
8081-HZTQW,Male,0,No,No,18,No,Yes,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,95.3,1715.4,No
3976-MOTEO,Female,0,Yes,Yes,39,No,No phone service,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),108.46,4229.94,No
5656-HZTQW,Male,0,No,No,13,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),88.33,1148.29,No
9318-GNVDE,Female,0,No,No,51,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,56.47,2879.97,Yes
5685-GNVDE,Male,0,No,No,26,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,113.78,2958.28,No
4893-MOTEO,Male,1,No,No,23,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,85.9,1975.7,No
7190-GNVDE,Female,1,Yes,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,115.89,5794.5,No
5947-HZTQW,Female,0,No,No,13,No,No phone service,No,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.96,1117.48,No
8116-GNVDE,Female,1,No,No,9,No,No phone service,No,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),25.17,226.53,No
5566-VHVEG,Male,1,Yes,No,33,No,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),96.09,3170.97,Yes
9943-VHVEG,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),34.28,617.04,No
6606-MOTEO,Female,0,No,No,48,No,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),70.15,3367.2,No
8698-MOTEO,Female,0,No,No,6,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),111.62,669.72,No
7380-QPYBK,Male,0,No,No,2,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),97.76,195.52,No
9975-QPYBK,Male,0,Yes,No,41,No,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),21.63,886.83,No
8818-QPYBK,Male,0,No,No,64,No,Yes,DSL,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Mailed check,85.05,5443.2,No
4195-VHVEG,Female,0,No,Yes,46,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,101.46,4667.16,No
8662-MOTEO,Female,0,No,Yes,0,No,No phone service,No,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,37.37,37.37,No
